a,b,r,theta,p,i,d
1,0.6,1,0.0564,0.18652724426040518,0.09277738149101522,0.4698739047072046
1,0.6,2,0.1129,0.0751654861551367,0,0.1833860534740842
1,0.6,3,0.1698,0.06343951475694388,0,0.12979948133857044
2,0.6,1,0.0564,0,0.038447033416534916,0.15908294399242046
2,0.6,2,0.1129,0.2666471547291202,0.3638556498821898,0.28875528265056016
2,0.6,3,0.1698,0.07247532254006629,0,0.11439360730751248
3,0.6,1,0.0564,0.03344067436841209,0,0.10657362092129136
3,0.6,2,0.1129,0.031931569774358626,0.030275996162123828,0.2610427321729461
3,0.6,3,0.1698,0.17762212335102184,0,0.5097242791529105
